text,title,keywords,summary
"NEW YORK—Though today he holds a powerful position as head of a leading information technology firm, MergeMedia CEO Gary Lightman told reporters Thursday he, amazingly, worked his way to the very top of the company from humble beginnings as the son of the previous CEO. “A lot of people are surprised when I tell them I started out as a lowly senior vice president right out of college, but it’s true,” said Lightman, 37, who stressed that he had to work every angle to get to where he is today, including being born to the head of the company, being raised by the head of the company, going to the same prestigious business school as the head of company on a legacy scholarship, and being hired at age 22 for a management-level position by the head of the company. “Believe me, I had to sit through a lot of board meetings to get where I am today. If you’d asked me a few years ago if I’d one day be CEO of my dad’s company, I would have said, absolutely not this soon. I thought for sure I’d have to spend a year or two as COO before I made it to the top.” Lightman added that he plans to hold on to his current job until MergeMedia can no longer afford to pay his seven-figure salary, at which point he looks forward to transitioning into retirement.    ",CEO Worked Way Up From Son Of CEO,,
The Official Tumblr for America's Finest News Source.,WASHINGTON—Unable to contain his nausea at the...,,
"WILLOUGHBY, OH—Allowing no window whatsoever for additional conversation to take place, the father of local man Luke Asbury reportedly handed off the phone to Luke’s mother on Sunday immediately after his son wished him a happy Father’s Day. “Wow, he didn’t waste any time—he just said thanks, told me Mom was there if I wanted to speak to her, and then got off the line before I could really answer,” said Asbury, 32, who told reporters that while he in no way expected to chat at length, he did anticipate at least having one or two minutes of small talk about whether his father planned to watch any golf that afternoon. “I don’t think we were even on the line together for 30 seconds before he started wrapping things up. In fact, this might’ve been the earliest he’s ever told me he had to get going. I can’t imagine he’ll be able to top that next year.” At press time, Asbury’s mother put the call on speaker so they could all talk, though his father reportedly remained silent except for what sounded like shuffling out of the room with the newspaper.  He might be a man of few words, but he knows good Scotch Whisky when he sees it. Share Dewar’s 12 Year Old Blended Scotch Whisky with Dad this Father’s Day.",Dad Hands Phone Off To Mom Immediately After Being Wished Happy Father’s Day,,
"MEDFORD, OR—Considering that everyone else at Kevin Brown's sleepover party is having a great time and not freaking out about missing their mommies and daddies, 10-year-old Brandon Thompson needs to just man up and tough it the fuck out because this...",China Censors Gay Kiss In ‘Alien: Covenant’,,
5 Things To Know About Jon Ossoff  5 Things To Watch For In Comey’s Testimony  5 Things To Watch For In The NBA Finals  5 Things To Know About Tiger Woods  5 Things To Know About Trump’s Budget Proposal  5 Things To Watch For In The French Election  5 Things To Know About Rodrigo Duterte  5 Things To Know About Trump's Tax Plan  5 Things To Watch For At The NRA Convention  5 Things To Know About Peanut Allergies  5 Things To Know About Sanctuary Cities  5 Things To Know About United Airlines,5 Things To Know About Trump’s Budget Proposal,,
"WASHINGTON—Brainstorming the wondrous features and amenities as they came to him in a flash of inspiration, President Donald Trump on Wednesday accidentally recorded over the tape containing his meetings with fired FBI Director James Comey with an idea for a candy hotel. “There could be a revolving door made out of peppermint swirl, and then you walk in, and there’s a giant lobby with chocolate fountains, peanut brittle columns, and beautiful rock candy chandeliers,” said Trump into a handheld cassette recorder, replacing over 90 minutes of crucially important conversations that could be used as key evidence in determining whether obstruction of justice occurred with musings about a gumdrop garden and olympic-sized pudding pool. “The ballroom could have a hard caramel floor with ornate wall designs carved into stucco made from nougat, and then red taffy curtains and a Jolly Rancher piano—oh, and all the beds would be made out of marshmallow, and the sheets could be cotton candy.” After realizing his mistake, Trump reportedly became paranoid that if the FBI got access to the tapes, they could steal his idea.",Trump Accidentally Records Over Comey Meeting Tape With Idea For Candy Hotel,,
The Onion is not intended for readers under 18 years of age. © Copyright 2017 Onion Inc. All rights reserved.,A Primer on Elon Musk’s Business Initiatives,,
The Official Tumblr for America's Finest News Source.,Visit theonion.com to see more from the standard...,,
The Onion is not intended for readers under 18 years of age. © Copyright 2017 Onion Inc. All rights reserved.,Onion Fact Checks: Former FBI Director James Comey’s Senate Testimony,,
The Official Tumblr for America's Finest News Source.,"STERLING, CO—Saying the condiment was really...",,
"INDIANAPOLIS—Saying they were left with no other choice given the imminent peril of the situation, World Wrestling Entertainment officials confirmed they were forced to kill one of their own stars Friday when a 7-year-old boy wandered into the steel cage enclosure of an aggressive wrestler.  Beloved two-time WWE champion Big Show was reportedly shot dead after the emergency response team at the Indiana Farmers Coliseum made a split-second decision to take out the nearly 400-pound dominant male wrestler, who is said to have appeared aggravated and hostile, causing those present to fear for the small child’s safety.  “Last night, after determining he posed a clear threat to a young boy who had entered the steel cage, we chose to end the life of one of our wrestlers,” said WWE spokesperson Chris Bellitti, who added that the security guards who opened fire had followed protocol, assessing the body language and vocalizations of the 45-year-old wrestler to evaluate the danger he presented. “It is a tragedy anytime something like this happens, but luckily we can say a child is alive today thanks to the swift and appropriate measures taken by our WWE staff.”  “While lethal force is always a last resort, the reality is that we were dealing with a very large adult—one of our strongest males,” Bellitti continued. “A tranquilizer could have taken five, even 10, minutes to bring down a wrestler that size, and it likely would have made him even angrier in the meantime. We simply couldn’t risk waiting any longer to act.”  Though a popular attraction for WWE since his arrival in 1999, the 7-foot, 383-pound Big Show reportedly angered easily and had a history of violent outbursts, often acting belligerently toward other wrestlers to intimidate them and, at times, even confronting officials who entered the ring with him. The wrestler is known to have exhibited erratic behavior on numerous occasions, including several altercations in which individuals required medical attention.  Despite his reputation, WWE representatives insisted the wrestler would never intentionally hurt a child, though they acknowledged he likely interpreted the shouts and flashing cameras of onlookers as a threat, which would have increased the likelihood of a deadly tantrum.  The boy’s mother, Lynn Marshall, who said she and her family had enjoyed going to see the WWE’s wrestlers for years, held back tears as she recalled seeing her defenseless son face-to-face in the steel cage with a hulking behemoth ten times his size.  “I turned my back for a second, and the next thing I knew my son was down there with that huge wrestler,” she said. “I screamed and ran toward the ring as fast as I could, just shouting and shouting for help. The wrestler was stomping around and pumping his fists, and I was completely terrified of what he might do next.”  “When it looked like he was getting ready to pick up my boy and slam him on the canvas, I completely lost it,” she added.  It was at that moment, sources said, that the wrestler was brought down with multiple rifle shots to the head and heart.  Some witnesses blamed Big Show’s death on the boy’s mother, calling her negligent for not keeping a better eye on her child while in such close proximity to dangerous wrestlers. Others reportedly criticized the facility for not having more physical barriers and stronger safety measures to prevent children from coming into contact with a wrestler as powerful and unpredictable as Big Show in the first place.  According to reports, protests soon began outside the arena where the wrestler was fatally shot. Many argued that WWE was at fault, having fostered violent behavior in Big Show and countless other wrestlers by confining them to cramped steel cages—which rarely exceed an area of 20 square feet—and allowing crowds to gawk at them for hours on end.  “An innocent wrestler has paid the ultimate price for a mistake made by someone else,” said Sam Carter, a 25-year-old protester who objected to what he called WWE’s inhumane activities. “When you look at everything these wrestlers are subjected to, it clearly amounts to cruelty. We must put an end to this immoral practice before another Big Show dies.”  Added Carter, “It’s pretty sickening when you consider the fact that they have such short lifespans as it is.”",WWE Staff Forced To Shoot Aggressive Wrestler After Child Climbs Into Steel Cage,,
The Official Tumblr for America's Finest News Source.,"STERLING, CO—Saying the condiment was really...",,
5 Things To Know About Jon Ossoff  5 Things To Watch For In Comey’s Testimony  5 Things To Watch For In The NBA Finals  5 Things To Know About Tiger Woods  5 Things To Know About Trump’s Budget Proposal  5 Things To Watch For In The French Election  5 Things To Know About Rodrigo Duterte  5 Things To Know About Trump's Tax Plan  5 Things To Watch For At The NRA Convention  5 Things To Know About Peanut Allergies  5 Things To Know About Sanctuary Cities  5 Things To Know About United Airlines,5 Things To Watch For In Comey’s Testimony,,
"How America Can Become Less Divided By Increasing The Number Of Murals Of People Holding Hands  Can A Mother Actually Lift A Car If Her Child Is Trapped Under It?  Is Taking Vitamins An Adequate Substitute For Eating Rhino Horns?  Why Are There So Few Female Directors?  What Makes Anna So Beautiful In The Moonlight?  Americans Have Lost Faith In Government Due To Both Parties' Failed Promises To Blow Up Mt. Rushmore  Should We Really Exercise That Much If The Human Body Is Only Built For Short Bursts Between Sitting And Lying Down?  Scientists Capture Audio Of Beetle Colliding With Paper Clip For First Time  America Is More Religious Than Other Countries Due To Its Proximity To The Gates Of Hell  Cucumber Is Everywhere, So Why Are People Still Fat?  Should Animals Have More Eyes?  Why Does It Seem Like Movie Ratings Are So Much Harder On Willem Dafoe Sex Than Willem Dafoe Violence?",Should We Really Exercise That Much If The Human Body Is Only Built For Short Bursts Between Sitting And Lying Down?,,
"Popsugar touts itself as the number one digital lifestyle brand for young women, and in its latest NewFronts delivery, it shared more upcoming programs that will continue to corral its target audience. To power that slate, it has partnered with several other established content producers, including Onion Studios, SoulPancake, and Broadway Video’s Mas Mejor.  Those three companies will each launch their own comedy series alongside Popsugar. Onion Studios will poke fun at mommy bloggers with EveryMom, SoulPancake will imagine a DIY version of The Bachelorette with The Matchelorette, and Mas Mejor — which Broadway Video launched last year to provide a home for Latino creators — will combine humor and Cuban recipes with Cooking Rodriguez.  Popsugar’s brand includes more than just comedies, and its other NewFronts announcements included a partnership with Lean In, a new analytics suite called Popsugar Motion, and a new vertical called Glow, which seems to be emulating the social-friendly success of BuzzFeed ventures like Tasty. The media company also announced that Class Fitsugar, its popular fitness series, will soon be adapted into a daily TV format.  Here, via a Popsugar press release, are details about all the shows the network discussed during its presentation:  COMEDY:  Cooking Rodriguez  POPSUGAR has expanded its successful relationship with Broadway Video through Más Mejor, Broadway Video’s new premium comedy studio powered by Latino voices, in partnership with POPSUGAR Latina. The first project is a scripted comedy, Cooking Rodriguez, created by Marlena Rodriguez (writer on season 2 of Unbreakable Kimmy Schmidt). COOKING RODRIGUEZ follows Penelope, an aspiring YouTube host, as she cooks her way through her grandmother’s Cuban recipes and, despite her best efforts, falls victim to kitchen mishaps and her grandmother’s sharp tongue.  EveryMom  EveryMom is POPSUGAR’s first project developed through a new partnership with Onion Studios. The scripted show is from the development arm of The Onion, the nation’s leading comedy and news satire brand. The comedy series is about America’s most popular new mommy influencer, who is secretly a single, childless 27-year–old dude living in Brooklyn, NY. The show both satirizes mommy -influencer culture and millennial entitlement while celebrating motherhood. The series was created by The Onion’s editorial director, Josh Modell, who was inspired to create the series based on the experience of having his first child.  The Matchelorette  The Matchelorette is a real-life romantic comedy that follows two best friends as they right swipe enough matches to stage their own DIY version of a Bachelorette-style competition. That’s right, from their tiny bungalow, the search for love (or at least a viable crush) is on . . . unbeknownst to the suitors. The series is produced in partnership with SoulPancake, Rainn Wilson’s award-winning media brand that has become the most recognized name in meaningful entertainment by creating inspiring, uplifting, shareable, and socially relevant content about the human experience.  PETS:  Finding Fido: The Dog Who…  Finding Fido: The Dog Who… tells the emotional true stories of dogs who’ve changed their owners’ lives forever. At the end of each episode, the hero dog will be photographed by famous dog photographer Seth Casteel, capturing a one-of-a-kind image and presenting it to the owner. The online series is inspired by cable network Z Living’s (which has a TV series partnership with POPSUGAR) upcoming television show Finding Fido, produced by 3 Ball Entertainment (The Biggest Loser). The series will also partner with organizations to promote awareness for dog adoption.  BEAUTY:  A Beautiful World  When it comes to beauty, every culture plays by its own rules — and POPSUGAR’s audience is fascinated with them. In A Beautiful World, actress and blogger Jamie Chung will explore the beauty rituals that have come to define cultures all over the world. From skin care practices handed down through generations to new and exotic regimens women swear by, Jamie will uncover the world’s best beauty secrets that millennial women all over the world look to for inspiration.  Pretty Unfiltered  Pretty Unfiltered is a new series based on the belief that a key to beauty is embracing yourself and celebrating what makes each of us unique. In Pretty Unfiltered, some of the internet’s most influential women, including Lilly Singh, Shay Mitchell, Grace Helbig, and Felicia Day — and many more — join host Kirbie Johnson to share their personal stories, insecurities, and struggles all in the name of championing differences and learning to find acceptance.  GLOW by POPSUGAR  Glow by POPSUGAR is a new brand and channel focused on well-being that will offer content to inspire and help our audience to glow by eating healthier, exercising more, and lowering stress — and having fun doing it all. Videos like our popular Flat-Belly Salad, 3 Smoothies For Weight Loss, and Workout Snacks Under 200 Calories are all crafted to be easily shared and incorporated into your life. Look for our new Glow channel on Facebook, YouTube, Snapchat, Instagram, and, of course, POPSUGAR.  FASHION:  Lens by ShopStyle  In this new series, audiences will follow our style-hunting tandem on the road as they discover and film what fashion looks like — right now — all across the country. They will capture everyone from real girls to top influencers for the first-ever all-video fashion Instagram. You’ll be able to see the looks immediately, in video, on the Lens by ShopStyle Instagram, as well as watch the series to experience what it’s like to shoot the world’s most interesting fashion. This is the first original video series from POPSUGAR sister brand ShopStyle, the powerful digital shopping platform.  NEWS AND CULTURE:  POPDOCS  POPDOCS is POPSUGAR’s foray into documentary filmmaking, news, and inspiring long-form reporting. The first theme — Women Breaking Barriers — is a 32-part series sponsored by Chevrolet. Our approach to storytelling focuses on game-changing talent, a deeper exploration of mainstream trends and under-the-radar movements, and important events and themes that are relatable and relevant to POPSUGAR’s young female audience.  Know Your Vote  POPSUGAR believes it’s critical for its audience to be informed and engaged in issues that will impact their lives — and the audience has responded strongly. As we progress toward an election that will have a major impact on the lives of young women, we are launching Know Your Vote,our reporting initiative focused on delivering the facts and important stories around the presidential election. Further, as part of POPSUGAR’s shift to including issue-related content, the company announced a partnership with Rock the Vote focused on registering millennial women to vote in the presidential election. Our goal is to get 1 million people registered to vote. And we’ll do it!","Popsugar Partners With The Onion, SoulPancake, Mas Mejor In NewFronts Push",,
"WASHINGTON—Brainstorming the wondrous features and amenities as they came to him in a flash of inspiration, President Donald Trump on Wednesday accidentally recorded over the tape containing his meetings with fired FBI Director James Comey with an idea for a candy hotel.",Supreme Court Defends Disparaging Trademarks,,
The Onion is not intended for readers under 18 years of age. © Copyright 2017 Onion Inc. All rights reserved.,The Onion - America's Finest News Source,,
The Official Tumblr for America's Finest News Source.,"For more world-renowned reportage, visit...",,
The Onion is not intended for readers under 18 years of age. © Copyright 2017 Onion Inc. All rights reserved.,The Onion - America's Finest News Source,,
"BOSTON—Citing her growing irritation with the tasks assigned to her and the festering sense of disdain she harbors toward many of her coworkers, a report issued Friday confirmed that today is finally the day that local woman Samantha King either quits her job or goes home and watches four hours of Netflix on her couch.",Still Too Early To Tell If Pulling Chain Turned Overhead Fan Off,,
"How America Can Become Less Divided By Increasing The Number Of Murals Of People Holding Hands  Can A Mother Actually Lift A Car If Her Child Is Trapped Under It?  Is Taking Vitamins An Adequate Substitute For Eating Rhino Horns?  Why Are There So Few Female Directors?  What Makes Anna So Beautiful In The Moonlight?  Americans Have Lost Faith In Government Due To Both Parties' Failed Promises To Blow Up Mt. Rushmore  Should We Really Exercise That Much If The Human Body Is Only Built For Short Bursts Between Sitting And Lying Down?  Scientists Capture Audio Of Beetle Colliding With Paper Clip For First Time  America Is More Religious Than Other Countries Due To Its Proximity To The Gates Of Hell  Cucumber Is Everywhere, So Why Are People Still Fat?  Should Animals Have More Eyes?  Why Does It Seem Like Movie Ratings Are So Much Harder On Willem Dafoe Sex Than Willem Dafoe Violence?",Americans Have Lost Faith In Government Due To Both Parties’ Failed Promises To Blow Up Mt. Rushmore,,
The Official Tumblr for America's Finest News Source.,Robert Mueller Begins Thirteenth Day Undercover As...,,
The Onion is not intended for readers under 18 years of age. © Copyright 2017 Onion Inc. All rights reserved.,The Onion - America's Finest News Source,,
The Official Tumblr for America's Finest News Source.,"For more world-renowned reportage, visit...",,
The Official Tumblr for America's Finest News Source.,Visit theonion.com to see more from the standard...,,
"MEDFORD, OR—Considering that everyone else at Kevin Brown's sleepover party is having a great time and not freaking out about missing their mommies and daddies, 10-year-old Brandon Thompson needs to just man up and tough it the fuck out because this...",Sean Spicer Cradling Comfort Pig Throughout Briefing,,
The Official Tumblr for America's Finest News Source.,Robert Mueller Begins Thirteenth Day Undercover As...,,
"VATICAN CITY—Praising the district’s vast selection of inexpensive goods and its vendors’ willingness to negotiate prices, Pope Francis reportedly spent Thursday afternoon strolling through Vatican City’s Chinatown before purchasing a knockoff golden chalice.  Holy See officials said that after leading Mass at St. Peter’s Basilica, the Bishop of Rome walked the three blocks to the sprawling ethnic Chinese neighborhood known for selling anything from Pentecost fireworks to bootleg homily DVDs, as well as countless other deeply discounted ecclesiastical items.  “I love coming down here every now and then to explore and maybe pick up a few things if I happen upon a good price,” said the pontiff, pausing briefly beside a booth where colorful plastic rosaries hung from a rack and thuribles stamped with the words “Catholic Church” were piled in a bin. “They don’t always have the highest-quality stuff, but if you hunt around you can get a great deal on something at least halfway decent. If I really dig, I know I can find a chalice that’ll transubstantiate wine into the blood of Christ pretty much as well as the real thing.”  “And even if the stem snaps or the jewels come unglued, I’m only out a few bucks,” he added. “I can just get another.”  “I love coming down here every now and then to explore and maybe pick up a few things if I happen upon a good price.”  In addition to retail, the Vatican Chinatown is reportedly home to dozens of storefronts touting alternative sacramental services such as herbal baptisms or reflexology treatments for the sick and dying, often demonstrated on small televisions playing looped video of priests performing the rites. Behind the shops that line Via Pio X and Via di Porta Angelica, penitents can also descend into one of the area’s basement confessional parlors and be absolved of their sins at a cost of three for $5 or seven for 10.  However, due to the quasi-legal nature of some merchants’ business practices, the area is regularly patrolled by members of the Swiss Guard on the lookout for scams. Pope Francis himself has reportedly witnessed sellers hawking what they claimed were the bones of saints or patches of the Shroud of Turin, but who then quickly rolled up their blankets and scattered as soon as they caught sight of the guards.  “You do have to be careful—one time I bought a Latin Vulgate Bible, but when I got home I realized it just cut off right in the middle of Leviticus,” said the pontiff, glancing at himself in a mirror, wearing the visored miter he was considering purchasing. “When I tried to take it back, the lady screamed at me, ‘All sales final!’ What am I going to do, get into a whole thing with her?”  Added the Vicar of Christ, “Oh well, lesson learned.”  As he walked under an ornate Paifang into another winding alleyway of awnings, Pope Francis reportedly stopped at the open-air shop where he buys whole fish in bulk during Lent. Afterward, witnesses said the pontiff bought a mango bubble tea and partook in some window-shopping at various stores selling Ray-Ban sunglasses, swords supposedly used by Templar Knights during the 12th-century crusades, and unlocked smartphones.  “Cardinal Giuseppe told me about this great karaoke place down on Sant’Anna near the Vatican Library that has a huge selection of all the best hymns,” Pope Francis said as he passed by a dim sum stall posting a small menu in both Chinese and rudimentary liturgical Latin. “I think it’s the perfect spot for our midnight Mass afterparty when all the visiting bishops are in town this December. Boy, I’m really going to have to practice my ‘Ave Maria’ before then.”  “It’s so nice to have some things around here that are open on Christmas,” he added.  At press time, several vendors were aggressively waving the pope into their shops with the promise of name-brand ecclesiastical vestments at 75 percent off retail price.",Pope Francis Buys Knockoff Chalice At Store In Vatican City Chinatown,,
5 Things To Know About Jon Ossoff  5 Things To Watch For In Comey’s Testimony  5 Things To Watch For In The NBA Finals  5 Things To Know About Tiger Woods  5 Things To Know About Trump’s Budget Proposal  5 Things To Watch For In The French Election  5 Things To Know About Rodrigo Duterte  5 Things To Know About Trump's Tax Plan  5 Things To Watch For At The NRA Convention  5 Things To Know About Peanut Allergies  5 Things To Know About Sanctuary Cities  5 Things To Know About United Airlines,5 Things To Watch For In The French Election,,
The Official Tumblr for America's Finest News Source.,WASHINGTON—Unable to contain his nausea at the...,,
The Official Tumblr for America's Finest News Source.,Sean Spicer Cradling Comfort Pig Throughout...,,
"WASHINGTON—Brainstorming the wondrous features and amenities as they came to him in a flash of inspiration, President Donald Trump on Wednesday accidentally recorded over the tape containing his meetings with fired FBI Director James Comey with an idea for a candy hotel.","The Week In Pictures – Week Of June 19, 2017",,
The Official Tumblr for America's Finest News Source.,WASHINGTON—Unable to contain his nausea at the...,,
The Official Tumblr for America's Finest News Source.,Visit theonion.com to see more from the standard...,,
"WASHINGTON—Brainstorming the wondrous features and amenities as they came to him in a flash of inspiration, President Donald Trump on Wednesday accidentally recorded over the tape containing his meetings with fired FBI Director James Comey with an idea for a candy hotel.",‘Literally No One Calls Me That Or Has Ever Called Me That’: Our Interview With Ol’ Musky,,
The Official Tumblr for America's Finest News Source.,Sean Spicer Cradling Comfort Pig Throughout...,,
"FT. WORTH, TX—Calling it the ideal accent piece for safeguarding one’s property, Pier 1 Imports unveiled Wednesday a new self-defense vase for smashing on the head of a home invader. “This new dappled blue vase with a gloss finish is designed to shatter upon contact with the skull of any intruder that tries to break into your home,” said spokeswoman Madeline Newland, explaining that it was the perfect decor item for an end table near the front door, bedroom window, or any other area of the house where someone might attempt to illegally enter. “The narrow design makes it easy to grip even with trembling hands, and the sturdy 3-pound body is certain to incapacitate even the brawniest of trespassers—there’s no need to sacrifice elegant design and craftsmanship to protect your family from a robber or potential murderer.” Newland added that the Etruscan-inspired vase is an excellent accompaniment to the Pasha heirloom security runner that can be used to roll up the intruder’s body once his head has been bashed in.",Pier 1 Imports Unveils New Self-Defense Vase For Smashing Onto Head Of Home Invader,,
"STERLING, CO—Saying the condiment was really putting the rest of the team on its back, area man Kevin Bentley confirmed Thursday that the chipotle mayo was doing all the heavy lifting in his sandwich. “Looks like this mayo is going to have to carry us across the finish line, because there’s absolutely nothing else on this sandwich that has anything going for it,” said Bentley, explaining that the spicy southwestern spread would, as usual, have to lead the charge since the roast turkey had zero to contribute, and the shredded lettuce was essentially dead weight. “The soggy tomato sure as hell isn’t helping, and that single slice of swiss cheese might as well have not shown up today. The bread should be pitching in a lot more, but it’s just sitting there like it knows the chipotle mayo is going to bail it out eventually—which it will, of course, just like always.” At press time, realizing that even chipotle mayo couldn’t prop up every sandwich on its own indefinitely, Bentley tried easing its burden by adding some crushed potato chips.",Chipotle Mayo Doing All The Heavy Lifting In Sandwich,,
The Official Tumblr for America's Finest News Source.,MINNEAPOLIS—Citing the poor quality of both the...,,
"MINNEAPOLIS—Citing the poor quality of both the design and craftsmanship, members of the Hunter family told reporters Friday that the home’s versatile game table could be easily converted to play small, shitty versions of pool, air hockey, and foosball. “Right now it’s a tiny, cramped foosball table, but if you want to play air hockey on a chintzy rink that doesn’t blow any air at all, then all you have to do is just flip it right over,” said Jeffrey Hunter, 14, noting that the miserable excuse for an air hockey table came equipped with two strikers too small to grip properly and a single puck the size of a casino chip. “It’s got a cheap pool table component that comes with 18-inch billiard cues and shitty miniature balls that are impossible to hit accurately, so you can also play a game that barely resembles pool. This table’s got whatever you might want to play for two minutes before getting completely frustrated and stopping.” At press time, the table’s foosball component had reportedly become even shittier after the missing soccer ball was replaced with the eight ball.","Versatile Game Table Can Be Easily Converted To Play Small, Shitty Version Of Pool, Air Hockey, Foosball",,
"MEDFORD, OR—Considering that everyone else at Kevin Brown's sleepover party is having a great time and not freaking out about missing their mommies and daddies, 10-year-old Brandon Thompson needs to just man up and tough it the fuck out because this...",74 Normal Photos And 2 Kinda Weird Ones,,
,,,
"WASHINGTON—Brainstorming the wondrous features and amenities as they came to him in a flash of inspiration, President Donald Trump on Wednesday accidentally recorded over the tape containing his meetings with fired FBI Director James Comey with an idea for a candy hotel.",Katy Perry Surpasses 100 Million Twitter Followers,,
"MANSFIELD, OH—Having proposed that they spend a night out together, the boyfriend of local woman Cassandra Stephenson is said to have planned a magical evening for the two of them down to the very first detail, sources reported Tuesday. “We should do something on Friday,” said boyfriend Bryan Vogel, specifying the day of the week on which they will go out, the sole confirmed aspect of their romantic evening that has actually been planned in advance. “It should be fun.” Sources noted that Vogel’s gesture is his most considerate since Stephenson’s birthday last year, when he treated her to a night on the cheapest part of town.",Boyfriend Plans Magical Evening Down To First Detail,,
"MINNEAPOLIS—Citing the poor quality of both the design and craftsmanship, members of the Hunter family told reporters Friday that the home’s versatile game table could be easily converted to play small, shitty versions of pool, air hockey, and foosball. “Right now it’s a tiny, cramped foosball table, but if you want to play air hockey on a chintzy rink that doesn’t blow any air at all, then all you have to do is just flip it right over,” said Jeffrey Hunter, 14, noting that the miserable excuse for an air hockey table came equipped with two strikers too small to grip properly and a single puck the size of a casino chip. “It’s got a cheap pool table component that comes with 18-inch billiard cues and shitty miniature balls that are impossible to hit accurately, so you can also play a game that barely resembles pool. This table’s got whatever you might want to play for two minutes before getting completely frustrated and stopping.” At press time, the table’s foosball component had reportedly become even shittier after the missing soccer ball was replaced with the eight ball.","Versatile Game Table Can Be Easily Converted To Play Small, Shitty Version Of Pool, Air Hockey, Foosball",,
