text,title,keywords,summary
"EDISON, NJ—Citing creative differences that had been festering for at least a decade, Chuck E. Cheese keyboardist Mr. Munch confirmed Wednesday that he had left the band to form a new prog-rock outfit, The Mr. Munch Experience.  The longtime Chuck E. Cheese performer, whose songwriting credits include such hits as “You’re A Winner” and “The Future Looks Fun To Me,” told reporters that while he was proud of what the band had accomplished musically, he had begun to feel stifled by the group’s “mainstream sound” and “repetitive birthday-themed set list.”  “Sure, part of me still loves jamming about eating pizza and having fun with your friends, but there’s so much more to being an artist than just showing up and singing the same 20 songs over and over,” said Mr. Munch, complaining that the group hadn’t put out any new material since the commercial, radio-friendly “Giant Armadillo Named Phil.” “But anytime I suggested we push ourselves in a more experimental direction, that we not be afraid to challenge kids a little, Chuck just shot me down.”  “I guess you gotta know when to pack it in,” Mr. Munch added. “If nothing else, I’ll never have to sing ‘so let’s have a party’ ever again.”  According to the keyboardist, The Mr. Munch Experience would ideally resemble something of an “aural journey,” taking listeners to far-off soundscapes where strands of mozzarella stretch across infinity and sauce erupts from marinara volcanoes. Without the constraints of an established sound, Mr. Munch reportedly plans to explore ideas like polyrhythms, slide whistles, microtones, and confetti cannons—all of which would have clashed with the Chuck E. Cheese band’s more traditional, pop-oriented format.  The Mr. Munch Experience would ideally resemble something of an “aural journey,” taking listeners to far-off soundscapes where strands of mozzarella stretch across infinity and sauce erupts from marinara volcanoes.  Mr. Munch explained that his new project would have a much more free-form style that wouldn’t be afraid to “get a little cosmic.” He added that he had just finished a rough demo of a 12-part song, an ambient “synth voyage” titled “Gooey Galactic” that culminated with a long fade-out of him whispering the word “toppings” in reverse.  The musician also confirmed he had already begun collaborating with longtime friend and Parliament-Funkadelic bass player Bootsy Collins on an epic 40-minute “rebirthing” of “If You’re Happy And You Know It.”  “One of the things I’m most excited about is this multi-part rock opera called ‘Pepperonium’ that takes place in the year 2790 on a planet made entirely of melted cheese,” said Mr. Munch, describing how the idea came to him during a recent peyote session with his girlfriend, a 19-year-old Chuck E. Cheese’s waitress who chants atonally in the song’s background. “It’s going to be wild. I recorded the sound of a wooden paddle sliding under a pizza in a scorching-hot oven. It’s just three seconds long, but we slowed it down to four minutes.”  “The lead single is about how we’re all living on a single ball in a gigantic ball pit,” Mr. Munch continued. “It’s a total mindfuck.”  Mr. Munch, who reiterated that he still had the utmost respect for his former bandmates’ technical chops, admitted that they had drifted apart due to a toxic mix of personalities—a rift that was compounded by their grueling 365-days-a-year performance schedule.  “Chuck and I have been good buds from back in the day, but I’ve never seen eye to eye with Jasper T. Jowls,” said Mr. Munch, referring to the group’s lead guitarist, whom he claimed was an out-of-control drunk who “always played over everyone.” “I’m here to make music, but Pasqually P. Pieplate and Helen Henny were constantly bringing their personal stuff onstage every damn night, like anyone at a birthday party is supposed to care.”  “Boy, am I glad to be done with that bullshit,” added Mr. Munch.  Representatives from Chuck E. Cheese’s confirmed that they had already replaced Mr. Munch by signing Country Bear Jamboree’s Liver Lips McGrowl.",Chuck E. Cheese Keyboardist Quits Band To Form Mr. Munch Experience,,
"DENVER—Noting that some discomfort should be expected while traveling to a faraway place in just a few goddamn hours, officials from ultra-low-cost carrier Frontier Airlines reportedly told customers Thursday to just fucking deal with it. “I get that you’re cramped and miserable, but if you just shut the hell up and sit there for a few goddamn hours, you’ll soon be at your destination,” said CEO Barry L. Biffle, urging passengers to suck it up and quit whining so the flight could get on its merry fucking way. “Who gives a shit if you have no leg room and the seats are stiff? Soon you’ll be 800 miles from where you are now, and it’ll be like the last two hours of your life never even fucking happened. You’re the ones who wanted to save $150, so you’re welcome, assholes.” Biffle added that he didn’t want to hear any bitching and moaning about wanting in-flight food options, because everyone can just stuff their stupid faces when they land.",Frontier Airlines Tells Customers To Just Fucking Deal With It,,
The Onion is not intended for readers under 18 years of age. © Copyright 2017 Onion Inc. All rights reserved.,The Onion - America's Finest News Source,,
"The nation is still in shock about the presumptive GOP presidential nominee, but The Onion kind of called Trump's success back in 2012. After President Obama was reelected, the satirical newspaper made a fake newscast about how  Some experts say a frontrunner has already emerged in the form of this shrieking white-hot sphere of pure rage.  Explains fake news anchor Andrea Bennett:  The sphere, seen here decimating homes in a small Maryland town, is testing through the roof with conservatives who are disappointed with Obama's victory last night.  Not exactly Trump, but there are some clear similarities.  Hear me out. Trump's campaign has centered around anger at the current state of the nation, from the way China's  raping  America on trade to the lack of jobs for American citizens. He's a pretty mad human in general, constantly firing off Twitter rants, attacking journalists who criticize him, and calling his political opponents names. He also relentlessly denounces President Obama's policies and the progress he's tried to enact while in office. Not to mention how his face is a similar shade of orange to that of the orb.   This screaming orb just might be the only one who really taps into the deep-seated seething fury felt by so many Republicans right now,  says phony journalist Jason Copeland.  This thing is young, it's exciting, it feeds off fear and terror — it's no wonder conservatives are raving about it.   A Republican interviewed about why she's so drawn to the orb says:  Mitt Romney just didn't get me fired up enough to vote, but that sphere of anger really speaks to me ... usually through my television or in my nightmares.   When asked if it would run for president, the orb made loud whirring sounds and unintelligible shrieks before saying,  Bow before me,  followed by more piercing violent shrieks and  Guns. Not our America.  Then, it just repeated  fa*****s  at a deafening pitch for hours. In order to get it to run, Copeland said conservatives would have to trap the orb, communicate with it, and steer it in the right direction, but GOP leaders had already begun offering sacrifices of virgins and animals — a vital first step.    No one had to convince Trump to run for president (he was pretty eager to do so), but his slogan is quite similar to the shrieking orb's  Not our America.  The Onion was pretty spot-on in predicting the future.  [Embed]  Images: The Onion/YouTube  ","'The Onion' Predicted This Whole Donald Trump Mess, Like Years And Years Ago — VIDEO",,
"How America Can Become Less Divided By Increasing The Number Of Murals Of People Holding Hands  Can A Mother Actually Lift A Car If Her Child Is Trapped Under It?  Is Taking Vitamins An Adequate Substitute For Eating Rhino Horns?  Why Are There So Few Female Directors?  What Makes Anna So Beautiful In The Moonlight?  Americans Have Lost Faith In Government Due To Both Parties' Failed Promises To Blow Up Mt. Rushmore  Should We Really Exercise That Much If The Human Body Is Only Built For Short Bursts Between Sitting And Lying Down?  Scientists Capture Audio Of Beetle Colliding With Paper Clip For First Time  America Is More Religious Than Other Countries Due To Its Proximity To The Gates Of Hell  Cucumber Is Everywhere, So Why Are People Still Fat?  Should Animals Have More Eyes?  Why Does It Seem Like Movie Ratings Are So Much Harder On Willem Dafoe Sex Than Willem Dafoe Violence?",What Makes Anna So Beautiful In The Moonlight?,,
The Onion is not intended for readers under 18 years of age. © Copyright 2017 Onion Inc. All rights reserved.,The International Space Station By The Numbers,,
The Official Tumblr for America's Finest News Source.,MINNEAPOLIS—Citing the poor quality of both the...,,
"WASHINGTON—Staring in horror at the profane legislative ritual taking place around him, a robed Sen. Mark Warner (D-VA) reportedly infiltrated congressional Republicans’ secret, torchlit American Health Care Act ceremony deep in the woods behind the U.S. Capitol late Tuesday night. “I heard this eerie chanting as I left my office, and when I followed the sound I saw a line of GOP senators in long, flowing vestments being led into the forest by Mitch McConnell,” said Warner, explaining that he quickly donned an extra robe he found behind a tree and then quietly fell in formation at the rear of the column of conservative lawmakers in hopes of catching a glimpse of their mysterious health policy deliberations. “Eventually we reached a clearing where the senators started dancing around a bonfire while repeating in unison the list of all preexisting conditions that would no longer be covered under the new law. And all the while, McConnell kept exalting the name of the AHCA, praising it as the ‘great upper-class tax cutter’ and ‘slayer of Medicaid’ while waving the pages of the draft bill overhead. It was terrifying.” Warner added that he had to place his hand over his mouth to keep from screaming during the ceremony’s conclusion when Sen. Rob Portman (R-OH) and Sen. John Cornyn (R-TX) reportedly dragged out a bound and gagged low-income woman on birth control and threw her onto the bonfire as a sacrifice to the legislation.",Robed Mark Warner Infiltrates Secret Torchlit AHCA Ceremony Deep In Woods Behind Capitol,,
The Onion is not intended for readers under 18 years of age. © Copyright 2017 Onion Inc. All rights reserved.,Onion Fact Checks: Attorney General Jeff Sessions’ Senate Testimony,,
"I’ve witnessed some sorry fucking sights in my life, but the display you just put on in front of that nursing home crowd was the most pathetic excuse for Christian-themed slapstick I’ve ever seen. Dropped lines, missed cues, and I don’t know what you all thought you were doing during the Ten Commandments skit, but it sure as shit wasn’t what we rehearsed.  Come on, are we just a bunch of assholes fucking around here? Or is this a clown ministry?  We’ve got standards to live up to. We’re not just some dipshits in polka-dot overalls and fright wigs playing grab-ass. We’re clown ministers—righteous Christians called to preach the word of the Gospels through costumes, props, and physical comedy.  Maybe you forgot, but when you put on those big floppy shoes and that Jesus-fish necktie, you’re not just some grease-painted jerk-off standing there with your thumb in your ass. You are a messenger of our Lord and Savior. We’re supposed to be saving souls here—using our comic antics to spread hope, faith, and Christian goodwill. Do you think we opened the audience’s hearts one fucking iota to the everlasting love of Jesus with that huge stinking turd of a puppet show you just tried to pass off as the parable of the prodigal son?    Seriously, are you fuckwits here to share the good news of the Kingdom of Heaven through lighthearted hijinks and pantomime or to yank on your goddamn dicks?  Seriously, are you fuckwits here to share the good news of the Kingdom of Heaven through lighthearted hijinks and pantomime or to yank on your goddamn dicks?  Yeah, I’m talking to you, Father Rumplebottom. When you play Judas chasing Saint Glitterbug and Jingles the Penitent around the Last Supper table with a seltzer bottle, you’re supposed to slip and fall on your 30 pieces of silver. That’s the punchline to the whole bit, for crying out loud! Same goes for you, Blowflower T. Hezekiah. A fucking monkey could’ve made a better Immaculate Heart of Mary balloon sculpture than you did this afternoon. Oh, and by the way—just how exactly are we supposed to glorify God with our walls of Jericho tumbling routine when half of you shitheads forgot your trumpets in the van?  Do you think the greats, clown ministers like Faithful Bonko or ChooChoo the Prophet, ever phoned it in like that? No. When they were supposed to teach a Sunday school class the story of Noah’s Ark, they got out there and started pulling stuffed animals out of their sleeves, two of each kind, in an endless chain, until they had the attention of every kid in that audience. You can’t just throw on a red nose and an oversized crucifix necklace and expect a group of recovering alcoholics or terminally ill children to invite the Holy Spirit into their hearts right then and there—especially not when you’re out there pissing around like a gaggle of bumbling dildos like you were today.  Most of the seniors in that rec room had nodded off by the time we got to Humble Doink’s burning bush ventriloquism act, and with the god-awful snoozefest you just put on, I can’t say I blame them.  Look, it’s up to you. If you’d rather sit around and wank each other off than spread the wisdom of the Lord, that’s fine—just go do it somewhere else. For any of you who are ready to start taking God’s mission seriously, chalice-juggling practice is this Saturday.",Is This A Bunch Of Assholes Fucking Around Or Is This A Clown Ministry?,,
"page not found  Don’t panic, we got you! Find more stories.",Page not found,,
"WAVERLY, NE—Listening as the haggard messenger spoke of ominous clouds upon the horizon, local fourth-grade teacher Myra Helms received a dark portent of a gathering storm from pale and bedraggled third-grade teacher Beverly Milfay, sources confirmed Thursday. “Hearken to my words! The unspeakable malevolence that befell me will soon descend upon you—a woeful tempest tears through Meadowlark Elementary, leaving nothing but misery and ruination in its path,” said Milfay, a shudder passing through her weary, sallow countenance as she spoke of a classroom disrupted by rampant misbehavior and screeching voices “unconstrained by any empty commandment to raise one’s hand.” “Beware foremost the one who calls himself Trevor, he of the wavy brown hair and shark-tooth necklace. The others follow his lead, and if his mockery is loosed upon you, your doom will be sealed by the multitude. Heed my warning or suffer an entire year!” The third-grade teacher also exhorted her colleague against any interaction with “the one known as Bradley,” who if called upon to read aloud will grow nervous and “swiftly desecrate his garments with urine.”","Fourth-Grade Teacher Receives Dark Portent Of Coming Storm From Gnarled, Haggard Third-Grade Teacher",,
The Official Tumblr for America's Finest News Source.,MINNEAPOLIS—Citing the poor quality of both the...,,
"WASHINGTON—Brainstorming the wondrous features and amenities as they came to him in a flash of inspiration, President Donald Trump on Wednesday accidentally recorded over the tape containing his meetings with fired FBI Director James Comey with an idea for a candy hotel.",Atari Announces Mysterious New Console,,
"FORT WAYNE, IN—According to local computer programmer and Keira Knightley fan Tom Hayes, 38, the internationally known English film actress and model responded  much too fast  to the letter he sent just a few days ago.   All I wrote was, 'I'm a big fan and I would love it if you would autograph this picture,'  Hayes told reporters Thursday, holding Knightley's unusually prompt and thorough response to his original two- sentence-long letter.  But then, just four days later—exactly four days—there's a FedEx guy at my door asking me to sign for an overnight delivery from Keira Knightley. I just figured it was some sort of mistake or joke, but it wasn't.    Now, think about that: I sent my letter by regular mail all the way to London, so in order for me to have received her reply so quickly, she literally must have read my letter the moment it got to her and then responded immediately,  Hayes continued.  That seems a little weird, right?   Assuming that his original letter had simply been returned to sender, Hayes was surprised to find the package contained a 12-page handwritten document, a signed color photograph of Keira Knightley much larger than the black-and-white portrait of the actress he had sent, a variety of English candies, another photograph of a smiling Knightley holding Hayes' letter, and a few small handmade pencil drawings, presumably of the movie star's pets.  Despite the fact that Hayes had actually mailed his letter to the 25-year-old performer's agent in London and not to Knightley herself, the Academy Award–nominated actress's response included her home address, her e-mail, private phone numbers for various residences in the U.K. and U.S., and 20 sheets of artisanal, pearl-foiled paper upon which Hayes was instructed to write his reply.  Hayes also confirmed that a second copy of Knightley's letter arrived a few hours later with a note attached reading,  In case the first one got lost in the mail! Yours, Keira.    And then the actual letter she wrote—man, you should see this thing,  said Hayes, shaking his head as he scanned the lavender-scented document.  She starts off talking about how my letter was a bright spot in her day and then goes on and on for pages about her childhood in Teddington, the trips she would take in the summer to visit her mother's family in Scotland, and her favorite movie memories. And at the end she goes on this long rant about how 'awesome' I am. I'm just reading this thing thinking, 'Why would she think I'm awesome? She doesn't even know me.'    And why is there a collage in the margins that has baby pictures of her and drawings of flowers?  Hayes added.  Seriously, should I be worried about his?   Although Hayes has not yet responded to Knightley, he confirmed that several additional replies have already arrived from the actress, each longer and more involved than the last. A letter from Knightley postmarked two days ago contained a variety of highlighted newspaper clippings related to recent happenings in the actress's life and career. Another postmarked the same day contained an 80-point questionnaire with such queries as  What is your favorite cozy thing to do on a rainy afternoon?  and  Do you think I'm cool? Dont lie, lol.   In addition, Hayes told reporters that Knightley had sent him six separate film scripts with notes attached asking whether he thought the parts seemed right for her.   Today she sent a message asking how I was holding up with all the construction they're doing on the house next door to me,  said a wide-eyed Hayes.  Okay, that started a day and a half ago. How did she know about that? And somehow she got my work address, because the other day all these stuffed animals appeared on my desk along with a cardboard cutout of her from Bend It Like Beckham. My boss was just like, 'What is all this crap?' It was really embarrassing.    She apologized later in one of her letters, but still,  Hayes added.  While Hayes claimed he remains an admirer of Knightley's work, he admitted to reporters that his adoration of the actress had diminished considerably, especially after his parents started getting bizarre postcards from the actress signed,  Your son's biggest fan.   Hayes said he was considering sending a short, polite reply in a week or so thanking her for her letters and saying goodbye.   Even though the whole thing has bordered on being sort of scary, I guess I ultimately do feel a little bad for her and think she really is a sweet girl,  Hayes said.  Still, I really wish she hadn't given my address to Daniel Craig. Jesus Christ, that guy just won't quit. ",Keira Knightley Answers Fan Letter Way Too Quickly,,
"EXCLUSIVE: Univision-owned Fusion continues to expand its original content, partnering with The Onion to develop a weekly television series based on its spinoff site The A.V. Club, Deadline has learned.  Expected to premiere later this year on the millennial-focused news and satire channel, the new series will offer curated pop culture content for Fusion viewers including recommendations on film, TV and other entertainment. The show also will highlight popular content from the A.V. Club archives, such as the music series A.V. Undercover and the comedy-oriented Pick a Choice.  The news follows last week’s announcement that Univision is now the sole owner of the Fusion brand, which had been a joint venture between Univision and Disney. Univision acquired a controlling stake in The Onion in January and has folded various Onion properties including Starwipe, Clickhole and A.V. Club into the newly formed Fusion Media Group.  This marks the third time The Onion has moved into television; the satirical sports show Onion SportsDome ran for one season on Comedy Central and parody show Onion News Network ran for two seasons on IFC. It is, however, the first time the brand has built TV programming around its non-parody output.  Founded in 1993 as a media and entertainment supplement to The Onion’s print edition, A.V. Club was spun off into a distinct website in 2005. Over the years it has produced a string of online hits, including Nathan Rabin’s My World of Flops. A.V. Club also was largely responsible for bringing advice column Savage Love and its creator Dan Savage to a national audience.",The A.V. Club Sets Up At Fusion; Weekly TV Show To Bow This Year,,
"WASHINGTON—Quickly crumpling up all 500 pages of the legislation upon hearing footsteps in the hallway, sources reported Tuesday that a panicked Senate Majority Leader Mitch McConnell shoved the entire Senate healthcare bill in his mouth as a Democratic senator walked past. According to witnesses, McConnell became visibly flustered upon realizing there was no place to hide from the Democratic colleague approaching his doorway and began ripping wads of documents from a binder and cramming them through his open jaws as rapidly as possible. Asked about the location of an upcoming meeting, McConnell, cheeks distended to many times their original size, reportedly grunted several times and gestured toward a nearby conference room. At press time, McConnell had spit out the massive clump of saliva-coated, half-chewed papers, which, while largely illegible, would reportedly insure 10 million more people than the original.",Panicking Mitch McConnell Shoves Entire Senate Healthcare Bill Into Mouth As Democrat Walks Past,,
"In a stern warning aimed at critics of Mazdas everywhere, area man Matthew Hunker, a longtime Mazda driver with two Mazdas in his garage at home, said Thursday his loyalty to the car manufacturer was so strong that he would be willing to kill in its name.",Robert Mueller Begins Thirteenth Day Undercover As White House Janitor,,
The Official Tumblr for America's Finest News Source.,"For more world-renowned reportage, visit...",,
The Official Tumblr for America's Finest News Source.,"STERLING, CO—Saying the condiment was really...",,
5 Things To Know About Jon Ossoff  5 Things To Watch For In Comey’s Testimony  5 Things To Watch For In The NBA Finals  5 Things To Know About Tiger Woods  5 Things To Know About Trump’s Budget Proposal  5 Things To Watch For In The French Election  5 Things To Know About Rodrigo Duterte  5 Things To Know About Trump's Tax Plan  5 Things To Watch For At The NRA Convention  5 Things To Know About Peanut Allergies  5 Things To Know About Sanctuary Cities  5 Things To Know About United Airlines,The Onion - America's Finest News Source,,
The Onion is not intended for readers under 18 years of age. © Copyright 2017 Onion Inc. All rights reserved.,The Onion - America's Finest News Source,,
"INDIANAPOLIS—Saying they were left with no other choice given the imminent peril of the situation, World Wrestling Entertainment officials confirmed they were forced to kill one of their own stars Friday when a 7-year-old boy wandered into the steel cage enclosure of an aggressive wrestler.",Top Prospects Of The 2017 NBA Draft,,
The Official Tumblr for America's Finest News Source.,Robert Mueller Begins Thirteenth Day Undercover As...,,
5 Things To Know About Jon Ossoff  5 Things To Watch For In Comey’s Testimony  5 Things To Watch For In The NBA Finals  5 Things To Know About Tiger Woods  5 Things To Know About Trump’s Budget Proposal  5 Things To Watch For In The French Election  5 Things To Know About Rodrigo Duterte  5 Things To Know About Trump's Tax Plan  5 Things To Watch For At The NRA Convention  5 Things To Know About Peanut Allergies  5 Things To Know About Sanctuary Cities  5 Things To Know About United Airlines,The Onion - America's Finest News Source,,
"To become box office hits, today’s motion pictures require dedicated, hardworking actors with the talent and know-how required to execute a quality performance on screen. While I know you have many good candidates to choose from when casting your production, I believe my experience working on films such as Seven, Ocean’s Eleven, and World War Z would make me an excellent addition to your next action feature.  With my background and skills, I believe I am a natural fit for a role in your movie.  I am a dynamic, motivated worker with a wide-ranging skill set and 30 years of screen-acting experience. I am equally at home whether participating in a fast-paced action sequence, engaging in rapid-fire dialogue, creating chemistry with a potential love interest, or just brooding silently in order to build tension for the next action-filled scene. I have also learned how to perform well under pressure, especially when confronting my primary antagonist during the movie’s climax.  Whether you are producing a gritty, hard-R crime film or a family-friendly action-adventure franchise, I am confident I would tackle the challenge with the same effort and enthusiasm I’ve shown in the past as both a cop on the trail of a serial killer and a hero who must race against time to save the world from a deadly threat.  During my career, I have excelled in many different work environments, from the American West to the steppes of Tibet to the bleak post-apocalyptic future. I am a self-starter capable of working alone, something I did in The Curious Case Of Benjamin Button as a man whose backward aging left him isolated. But I’m also passionate about collaborating with others, and in the Ocean’s trilogy I worked as part of a team that executed high-profile heists. I have extensive leadership experience as well, having headed up the guerrilla unit tasked with killing Nazis in Inglourious Basterds.  In addition to being highly proficient at running across rooftops, putting on accents, firing guns while rolling or jumping, memorizing lines, and falling off of high objects onto lower ones, I am also detail-oriented and able to think outside the box.  I am mainly interested in playing a lead role in your movie, but I would be open to accepting a supporting part, and feel I would be integral to your film no matter how I was ultimately cast. As to location, I am very flexible. I would prefer to work within the greater Los Angeles area; however, if you are able to make arrangements for transportation, I would be willing to travel as far as London or Argentina.  I am also more than willing to executive-produce, if necessary.  Although I’m proud of all the projects I’ve been involved with, I believe my experience working on Ocean’s Thirteen best sums up my professional strengths. Not only did it require balancing humor with action, it also presented me with the challenge of having to deliver a new, fresh performance while reprising a well-established role. In the end, my castmates and I not only met the expectations placed on us, but actually exceeded them. I was even recognized for my work with a People’s Choice Award.  In sum, I believe my skills and talents make me uniquely qualified to appear in your movie, and I hope you will seriously consider me when casting.  If you require any information beyond what can be found in my attached résumé, please contact my references George Clooney and David Fincher.","I Believe My Experience Working On Films Such As ‘Seven,’ ‘Ocean’s Eleven,’ and ‘World War Z’ Would Make Me A Valuable Asset To Your Next Action Movie",,
"EAST AURORA, NY—Touting it as the perfect tool for entertaining and stimulating the fetus during gestation, Fisher-Price announced the release Wednesday of a new in utero activity gym. “Whether they’re batting at the friendly toucans in order to harden their cartilage into bone or tapping the multicolored light-up palm tree to test out their sense of vision once their eyes open at 28 weeks, the Fisher-Price Rainforest Friends Prenatal Activity Gym is guaranteed to give your fetus a head start and keep it happy and occupied,” said director of marketing Kevin Goldbaum.",Black And Decker Introduces New 72-Inch Tree Whacker,,
The Official Tumblr for America's Finest News Source.,Sean Spicer Cradling Comfort Pig Throughout...,,
"Scientists Find Strong Link Between Male Virility, Wearing Mötley Crüe Denim Jacket  Scientists Teach Father To Communicate Emotions Using Rudimentary Hand Gestures  Should Companies Discontinue Unpaid Intern Fights?  CEO Says Office Shooting Could Not Have Come At A Worse Time For Company  Horrified Subway Execs Assumed People Were Buying Footlongs To Share With A Friend  GOP Maintains Solid Hold On Youth That Already Look Like Old Men  U.S. Forest Service Kills Off Smokey Bear To Get People Serious About Fire Safety  Super Hurricane Said to Be Even More Powerful Than Bogdan, World's Strongest Man  Breaking: Tour De France On Hold As Cyclists Ride Over To Creek To Check Out Bugs  Deadly Super Rainbow Tears Through West Coast  Meat Prices Skyrocket After Cow Smashing Machine Gets All Beefed Up  Beard Husks On Sidewalk Indicate Start Of Hipster Molting Season",Hurricane Ashley Expected To Strike Several Bars This Cinco De Mayo,,
The Onion is not intended for readers under 18 years of age. © Copyright 2017 Onion Inc. All rights reserved.,The Onion - America's Finest News Source,,
The Onion is not intended for readers under 18 years of age. © Copyright 2017 Onion Inc. All rights reserved.,The Onion - America's Finest News Source,,
"MEDFORD, OR—Considering that everyone else at Kevin Brown's sleepover party is having a great time and not freaking out about missing their mommies and daddies, 10-year-old Brandon Thompson needs to just man up and tough it the fuck out because this homesick bullshit is getting ridiculous, sources reported Saturday.  The child, who clearly just excused himself from eating pizza to call his house for the third goddamn time, had seriously better get his shit together ASAP or else all his moping around is going to ruin everyone's night.  Sources confirmed Thompson will see his parents again in less than 10 hours, so he needs to stop acting like a little bitch and relax, for Christ's sake.   It doesn't seem like Brandon is having as much fun as the rest of us,  said fellow sleepover attendee Nate Pirolli, rightly sensing that it's high time for Thompson to sack it up and get with the fucking program already.  I don't understand. We let him be first player in Gears Of War 3 and Batman: Arkham City, but he was being really quiet the whole time.    Isn't he excited that Kevin's parents are going to let us watch Superbad later? That's an R-rated movie,  he continued while a forlorn Thompson behaved as if his parents lived in Romania as opposed to 15 goddamn minutes away.  Though all he's being asked to do is spend a few hours having a blast with six of his closest friends, Thompson chose to sit out of a pre-dinner basketball game like a little pansy, claiming his allergies were acting up when in reality his puffed-up eyes and runny nose were a direct result of 30 minutes of sobbing in the Browns' upstairs bathroom.  Thompson, who by all accounts needs to just deal with it and grow the fuck up pronto, has but one obligation the whole night—the mindblowingly simple task of falling asleep—after which he will wake up, it will be morning, and his dad will come pick him up and take him to soccer practice.  Reports confirm Ryan Fitzpatrick, 10, and Jeremy Hillen, 10, aren't homesick little pussies and are totally game to try and stay up all night.   Brandon told me he had a stomach ache and that's why he didn't eat any cake,  said Nicholas Gellman, neglecting to call Thompson out on his bullshit and tell him to just nut up and eat his friend's fucking birthday cake.  I hope he feels better in the morning, because I heard we're getting chocolate chip pancakes with whipped cream.    It's weird, he had the same problem at my sleepover party too,  Gellman said of the little baby girl.  According to sources, the irony here is that Thompson spends lots of time away from his parents every single day when he goes to school, so he ought to be used to it. In fact, reports indicate his parents would both probably agree their son ought to take a step back, stop letting his irrational fears spiral out of control for a minute, and quickly reach down to double-check that he still has a set.   I know this can be a tough age for some children to sleep over at their friend's houses,  Brown's mother Debbie said.  But I do think it's important that kids venture outside their comfort zones and see for themselves that it's okay to spend the night away from home sometimes.    I will say, though, that I hope he stops coming to talk to me in the kitchen and goes to play with the other boys,  she continued.  I'm not his fucking mom.   As of 9 p.m., Thompson is making a big deal out of nothing, he's totally fine, and if he walks over to that phone to ask his parents to come pick him up instead of manning up for just one night he's going to regret it for the rest of his goddamn life.  And there he fucking goes.",Homesick Kid On Sleepover Needs To Just Tough It The Fuck Out,,
"EAST AURORA, NY—Touting it as the perfect tool for entertaining and stimulating the fetus during gestation, Fisher-Price announced the release Wednesday of a new in utero activity gym. “Whether they’re batting at the friendly toucans in order to harden their cartilage into bone or tapping the multicolored light-up palm tree to test out their sense of vision once their eyes open at 28 weeks, the Fisher-Price Rainforest Friends Prenatal Activity Gym is guaranteed to give your fetus a head start and keep it happy and occupied,” said director of marketing Kevin Goldbaum.",Pros And Cons Of The Gig Economy,,
"BOSTON—Citing her growing irritation with the tasks assigned to her and the festering sense of disdain she harbors toward many of her coworkers, a report issued Friday confirmed that today is finally the day that local woman Samantha King either quits her job or goes home and watches four hours of Netflix on her couch.",Mop Used to Clean Minor Spill Now Permanent Addition to Living Room,,
"MEDFORD, OR—Considering that everyone else at Kevin Brown's sleepover party is having a great time and not freaking out about missing their mommies and daddies, 10-year-old Brandon Thompson needs to just man up and tough it the fuck out because this...",6 Startling Before And After Photos Of Meth Users,,
5 Things To Know About Jon Ossoff  5 Things To Watch For In Comey’s Testimony  5 Things To Watch For In The NBA Finals  5 Things To Know About Tiger Woods  5 Things To Know About Trump’s Budget Proposal  5 Things To Watch For In The French Election  5 Things To Know About Rodrigo Duterte  5 Things To Know About Trump's Tax Plan  5 Things To Watch For At The NRA Convention  5 Things To Know About Peanut Allergies  5 Things To Know About Sanctuary Cities  5 Things To Know About United Airlines,The Onion - America's Finest News Source,,
"WASHINGTON—Unable to contain his nausea at the horrifying scene before him, rookie USDA agent Michael Dunn vomited Friday after seeing his first rotten orange. “As soon as the kid caught a glimpse of that produce lying there decomposing, he turned away, hunched over, and started throwing up like crazy,” said supervisor Carl Webster, adding that it was not uncommon for brand-new agents to react in such a manner when suddenly confronted with a putrefying, fly-covered rind. “He’ll get past it, though—you build up your tolerance after a while. The key is to not let it faze you but also never forget that this rotting pulp was once a sweet, delicious part of someone’s fruit bowl or lunchbox.” At press time, Dunn had steeled himself and looked at the orange once more, but was vomiting again before he could make it back to the car.",Rookie USDA Agent Vomits After Seeing First Rotten Orange,,
The Onion is not intended for readers under 18 years of age. © Copyright 2017 Onion Inc. All rights reserved.,The Onion - America's Finest News Source,,
